OpenAlex.title;issn.X1;issn.X2;issn.X3;issn.X4;host_organization_name;country_code;concept;Scopus.title;Print-ISSN;E-ISSN;All Science Journal Classification Codes (ASJC);WoS.title;WoS.ISSN;WoS.eISSN;WoS. Categories;DOAJ.title;DOAJ.Journal ISSN (print version);DOAJ.Journal EISSN (online version)
Australian Social Work;0312-407X;1447-0748;;;Taylor & Francis;AU;C159110408;Australian Social Work;0312-407X;1447-0748;"3312; 3301; 3306;";AUSTRALIAN SOCIAL WORK;0312-407X;1447-0748;Social Work;;;
Autism;1362-3613;1461-7005;;;SAGE Publishing;GB;C159110408;Autism;1362-3613;-;"3204;";AUTISM;1362-3613;1461-7005;Psychology, Development;;;
Autism & developmental language impairments;2396-9415;;;;SAGE Publishing;GB;C159110408;Autism and Developmental Language Impairments;-;2396-9415;"2738; 3203; 3204;";AUTISM & DEVELOPMENTAL LANGUAGE IMPAIRMENTS;2396-9415;2396-9415;Linguistics | Psychology, Development | Education, Special;Autism & Developmental Language Impairments;;2396-9415
Autism Research and Treatment;2090-1933;2090-1925;;;Hindawi Publishing Corporation;GB;C159110408;;;;;;;;;Autism Research and Treatment;2090-1925;2090-1933
Avances en enfermeria;2346-0261;0121-4500;;;National University of Colombia;CO;C159110408;;;;;;;;;Avances en Enfermería;0121-4500;2346-0261
Avicenna;2220-2749;;;;;QA;C159110408;;;;;AVICENNA;2220-2749;2220-2749;Health Policy & Services;;;
Axone (Dartmouth, N.S.);0834-7824;;;;;;C159110408;;;;;;;;;;;
Babali Nursing Research;2721-5989;;;;;ID;C159110408;;;;;;;;;Babali Nursing Research;2776-6993;2721-5989
Babcock University Medical Journal;2756-4657;2465-6666;;;;NG;C159110408;;;;;;;;;Babcock University Medical Journal;2465-6666;2756-4657
Baghdad medical journal of students;2709-3697;;;;;IQ;C159110408;;;;;;;;;;;
Bali Journal of Anesthesiology;2549-2276;2549-2276;;;Medknow;IN;;Bali Journal of Anesthesiology;-;2549-2276;"2703; 2706; 2906; 2907; 2711; ";;;;;Bali Journal of Anesthesiology;;2549-2276
Balneo and PRM Research Journal;2734-8458;2734-844X;;;;RO;C159110408;;;;;BALNEO AND PRM RESEARCH JOURNAL;2734-844X;2734-8458;Rehabilitation;Balneo and PRM Research Journal;;2734-8458
Bariatric Nursing and Surgical Patient Care;1557-1459;1557-1467;;;Mary Ann Liebert, Inc.;US;C159110408;;;;;;;;;;;
Bariatric surgical practice and patient care;2168-023X;2168-0248;2168-023X;;Mary Ann Liebert, Inc.;US;;Bariatric Surgical Patient Care;2168-023X;2168-0248;"2914; 2916; 2746;";BARIATRIC SURGICAL PRACTICE AND PATIENT CARE;2168-023X;2168-0248;Nursing | Surgery;;;
Basic and Applied Nursing Research Journal;2722-8274;;;;;ID;C159110408;;;;;;;;;;;
Bedside nurse;0005-7665;;;;;US;C159110408;;;;;;;;;;;
Beginnings (American Holistic Nurses' Association);1071-2984;;;;;US;C159110408;;;;;;;;;;;
Behavior analysis in practice;1998-1929;2196-8934;;;Springer Science+Business Media;CH;C159110408;;;;;BEHAVIOR ANALYSIS IN PRACTICE;1998-1929;2196-8934;Psychology, Clinical;;;
Behavior Genetics;0001-8244;1573-3297;;;Springer Science+Business Media;NL;C159110408;Behavior Genetics;0001-8244;1573-3297;"2716; 1311; 1105;";BEHAVIOR GENETICS;0001-8244;1573-3297;Behavioral Sciences | Genetics & Heredity;;;
Behavior Modification;0145-4455;1552-4167;;;SAGE Publishing;US;C159110408;Behavior Modification;0145-4455;-;"1201; 3203; 3204;";BEHAVIOR MODIFICATION;0145-4455;1552-4167;Psychology, Clinical;;;
Behavioral Disorders;2163-5307;0198-7429;;;SAGE Publishing;US;C159110408;Behavioral Disorders;0198-7429;-;"3203; 3204; 3304;";BEHAVIORAL DISORDERS;0198-7429;2163-5307;Psychology, Clinical | Education, Special | Psychology, Educational;;;
Behavioral Interventions;1072-0847;1099-078X;;;Wiley-Blackwell;GB;C159110408;Behavioral Interventions;1072-0847;1099-078X;"2738; 1201; 3203; 3204;";BEHAVIORAL INTERVENTIONS;1072-0847;1099-078X;Psychology, Clinical;;;
Behavioral Medicine;1940-4026;0896-4289;;;Heldref Publications;US;C159110408;Behavioral Medicine;0896-4289;-;"2738; 3202;";BEHAVIORAL MEDICINE;0896-4289;1940-4026;Behavioral Sciences | Psychiatry;;;
Behavioral medicine update;0742-5554;;;;Oxford University Press;US;C159110408;;;;;;;;;;;
Behavioral science & policy;2379-4615;2379-4607;;;;US;C159110408;Behavioral Science and Policy;2379-4607;2379-4615;"2802; 2739; 1709; 3303;";;;;;;;
Behaviour Change;0813-4839;2049-7768;;;Cambridge University Press;GB;C159110408;Behaviour Change;0813-4839;-;"3203; 3205;";BEHAVIOUR CHANGE;0813-4839;2049-7768;Psychology, Clinical;;;
Behavioural and Cognitive Psychotherapy;1352-4658;1469-1833;;;Cambridge University Press;GB;C159110408;Behavioural and Cognitive Psychotherapy;1352-4658;1469-1833;"3203; 2700;";BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY;1352-4658;1469-1833;Psychology, Clinical;;;
Behavioural public policy;2398-0648;2398-063X;;;Cambridge University Press;GB;C159110408;Behavioural Public Policy;2398-063X;2398-0648;"3320; 3312; 3301; 3207; 3202; ";BEHAVIOURAL PUBLIC  POLICY;2398-063X;2398-0648;Psychology, Applied | Public Administration | Psychology, Social;;;
Belitung Nursing Journal;2477-4073;;;;Belitung Raya Publisher;ID;C159110408;Belitung Nursing Journal;2477-4073;-;"2900; ";BELITUNG NURSING JOURNAL;2528-181X;2477-4073;Nursing;Belitung Nursing Journal;;2477-4073
Benefits quarterly;2168-3336;8756-1263;;;;US;C159110408;;;;;;;;;;;
Bereavement Care;0268-2621;1944-8279;0268-2621;;Taylor & Francis;GB;;Bereavement Care;0268-2621;1944-8279;"2902; 2909; 3207; 3306;";;;;;;;
Best Practices in Mental Health;1553-555X;2329-5384;;;;;C159110408;;;;;;;;;;;
Beyond Behavior;1074-2956;2163-5323;;;SAGE Publishing;US;C159110408;Beyond Behavior;1074-2956;2163-5323;"3203; 3204; 3304;";BEYOND BEHAVIOR;1074-2956;2163-5323;Education, Special;;;
Bhamada : Jurnal Ilmu Teknologi Kesehatan (e-journal);2355-3863;;;;;ID;C159110408;;;;;;;;;;;
Bhutan health journal;2415-1114;2413-2993;;;;BT;C159110408;;;;;;;;;;;
Bioethics forum;1065-7274;;;;;;C159110408;;;;;;;;;;;
Biogerontology;1389-5729;1573-6768;1389-5729;;Springer Science+Business Media;NL;;Biogerontology;1389-5729;1573-6768;"2717; 2909; 1302;";BIOGERONTOLOGY;1389-5729;1573-6768;Geriatrics & Gerontology;;;
Bioinfo pharmaceutical biotechnology;2249-1813;2249-1821;;;;IN;C159110408;;;;;;;;;;;
Biological Research For Nursing;1099-8004;1099-8004;1552-4175;;SAGE Publishing;US;;Biological Research for Nursing;1099-8004;-;"2922;";BIOLOGICAL RESEARCH FOR NURSING;1099-8004;1552-4175;Nursing;;;
Biomedical and case reports open access open journal;2771-0432;;;;;US;C159110408;;;;;;;;;;;
Biomedical informatics insights;1178-2226;;;;SAGE Publishing;US;C159110408;;;;;;;;;;;
Biomedical Physics & Engineering Express;2057-1976;2057-1976;;;IOP Publishing;GB;;Biomedical Physics and Engineering Express;-;2057-1976;"2900;";BIOMEDICAL PHYSICS & ENGINEERING EXPRESS;2057-1976;2057-1976;Radiology, Nuclear Medicine & Medical Imaging;;;
Biopsychosocial Medicine;1751-0759;;;;Springer Science+Business Media;GB;C159110408;BioPsychoSocial Medicine;1751-0759;-;"2803; 2738; 3200; 3207;";BIOPSYCHOSOCIAL MEDICINE;1751-0759;1751-0759;Psychiatry | Psychology, Multidisciplinary;BioPsychoSocial Medicine;;1751-0759
Biosecurity and Bioterrorism-biodefense Strategy Practice and Science;1538-7135;1557-850X;;;Mary Ann Liebert, Inc.;US;C159110408;;;;;;;;;;;
Biostatistics and epidemiology international journal;2630-8525;;;;;HU;C159110408;;;;;;;;;;;
Biotechnology healthcare;1554-169X;;;;;US;C159110408;;;;;;;;;;;
Birth-issues in Perinatal Care;1523-536X;0730-7659;;;Wiley-Blackwell;US;C159110408;Birth;0730-7659;1523-536X;"2729;";BIRTH-ISSUES IN PERINATAL CARE;0730-7659;1523-536X;Nursing | Obstetrics & Gynecology | Pediatrics;;;
BIT. Boletín de información farmacoterapéutica de Navarra;1138-1043;;;;;ES;C159110408;;;;;;;;;;;
BJGP open;2398-3795;;;;Royal College of General Practitioners;GB;C159110408;BJGP Open;-;2398-3795;"2714;";;;;;BJGP Open;;2398-3795
BJPsych Advances;2056-4678;2056-4686;;;Royal College of Psychiatrists;GB;C159110408;BJ Psych Advances;2056-4678;2056-4686;"2738;";BJPSYCH ADVANCES;2056-4678;2056-4686;Psychiatry;;;
BJPsych bulletin;2056-4708;2056-4694;;;Cambridge University Press;GB;C159110408;BJPsych Bulletin;2056-4694;2056-4708;"2738;";BJPSYCH BULLETIN;2056-4694;2056-4708;Psychiatry;BJPsych Bulletin;2056-4694;2056-4708
BJPsych international;2058-6264;2056-4740;;;Cambridge University Press;GB;C159110408;BJPsych International;2056-4740;2058-6264;"2738;";;;;;BJPsych International;2056-4740;2058-6264
Blood Pressure Monitoring;1359-5237;1473-5725;1359-5237;;Lippincott Williams & Wilkins;GB;;Blood Pressure Monitoring;1359-5237;-;"2902; 2903; 2705; 2700; 2724;";BLOOD PRESSURE MONITORING;1359-5237;1473-5725;Peripheral Vascular Diseases;;;
BMC clinical pharmacology;1472-6904;;;;BioMed Central;GB;C159110408;;;;;;;;;;;
BMC Emergency Medicine;1471-227X;;;;BioMed Central;GB;C159110408;BMC Emergency Medicine;-;1471-227X;"2711;";BMC EMERGENCY MEDICINE;1471-227X;1471-227X;Emergency Medicine;BMC Emergency Medicine;;1471-227X
BMC Family Practice;1471-2296;;;;Springer Science+Business Media;GB;C159110408;;;;;;;;;BMC Family Practice;;1471-2296
BMC Geriatrics;1471-2318;;;;BioMed Central;GB;C159110408;BMC Geriatrics;-;1471-2318;"2717;";BMC GERIATRICS;;1471-2318;Geriatrics & Gerontology;BMC Geriatrics;;1471-2318
BMC Health Services Research;1472-6963;;;;Springer Science+Business Media;GB;C159110408;BMC Health Services Research;-;1472-6963;"2719;";BMC HEALTH SERVICES RESEARCH;;1472-6963;Health Care Sciences & Services;BMC Health Services Research;;1472-6963
BMC International Health and Human Rights;1472-698X;;;;BioMed Central;GB;C159110408;;;;;;;;;BMC International Health and Human Rights;;1472-698X
BMC Medical Education;1472-6920;;;;BioMed Central;GB;C159110408;BMC Medical Education;-;1472-6920;"3304; 2700;";BMC MEDICAL EDUCATION;;1472-6920;Education, Scientific Disciplines;BMC Medical Education;;1472-6920
BMC Medical Ethics;1472-6939;;;;Springer Science+Business Media;GB;C159110408;BMC Medical Ethics;-;1472-6939;"2719; 3306; 2910;";BMC MEDICAL ETHICS;1472-6939;1472-6939;Medical Ethics;BMC Medical Ethics;;1472-6939
BMC Medical Informatics and Decision Making;1472-6947;;;;BioMed Central;GB;C159110408;BMC Medical Informatics and Decision Making;-;1472-6947;"2718; 2719; 1706;";BMC MEDICAL INFORMATICS AND DECISION MAKING;;1472-6947;Medical Informatics;BMC Medical Informatics and Decision Making;;1472-6947
BMC Medical Research Methodology;1471-2288;;;;Springer Science+Business Media;GB;C159110408;BMC Medical Research Methodology;-;1471-2288;"2718; 2713;";BMC MEDICAL RESEARCH METHODOLOGY;;1471-2288;Health Care Sciences & Services;BMC Medical Research Methodology;;1471-2288
BMC Medicine;1741-7015;;;;Springer Science+Business Media;GB;C159110408;BMC Medicine;-;1741-7015;"2700;";BMC MEDICINE;1741-7015;1741-7015;Medicine, General & Internal;BMC Medicine;;1741-7015
BMC Nursing;1472-6955;;;;Springer Science+Business Media;GB;C159110408;BMC Nursing;-;1472-6955;"2900;";BMC NURSING;1472-6955;1472-6955;Nursing;BMC Nursing;;1472-6955
BMC Nutrition;2055-0928;;;;BioMed Central;GB;C159110408;BMC Nutrition;-;2055-0928;"2739; 2916; 2712; 2701;";BMC NUTRITION;;2055-0928;Nutrition & Dietetics;BMC Nutrition;;2055-0928
BMC Obesity;2052-9538;;;;Springer Science+Business Media;GB;C159110408;;;;;;;;;;;
BMC Palliative Care;1472-684X;;;;BioMed Central;GB;C159110408;BMC Palliative Care;-;1472-684X;"2700;";BMC PALLIATIVE CARE;1472-684X;1472-684X;Health Care Sciences & Services;BMC Palliative Care;;1472-684X
BMC Pediatrics;1471-2431;;;;Springer Science+Business Media;GB;C159110408;BMC Pediatrics;-;1471-2431;"2735;";BMC PEDIATRICS;;1471-2431;Pediatrics;BMC Pediatrics;;1471-2431
BMC Pregnancy and Childbirth;1471-2393;;;;BioMed Central;GB;C159110408;BMC Pregnancy and Childbirth;-;1471-2393;"2729;";BMC PREGNANCY AND CHILDBIRTH;;1471-2393;Obstetrics & Gynecology;BMC Pregnancy and Childbirth;;1471-2393
BMC Primary Care;2731-4553;;;;Springer Nature;GB;C159110408;BMC Primary Care;-;2731-4553;"2714; ";BMC PRIMARY CARE;;2731-4553;Medicine, General & Internal | Primary Health Care;BMC Primary Care;;2731-4553
BMC Psychiatry;1471-244X;;;;BioMed Central;GB;C159110408;BMC Psychiatry;-;1471-244X;"2738;";BMC PSYCHIATRY;;1471-244X;Psychiatry;BMC Psychiatry;;1471-244X
BMC Psychology;2050-7283;;;;BioMed Central;GB;C159110408;BMC Psychology;-;2050-7283;"3200; 2700;";BMC PSYCHOLOGY;;2050-7283;Psychology, Multidisciplinary;BMC Psychology;;2050-7283
BMC Public Health;1471-2458;;;;BioMed Central;GB;C159110408;BMC Public Health;-;1471-2458;"2739;";BMC PUBLIC HEALTH;;1471-2458;Public, Environmental & Occupational Health;BMC Public Health;;1471-2458
BMC rheumatology;2520-1026;;;;Springer Science+Business Media;GB;C159110408;BMC Rheumatology;-;2520-1026;"2745;";BMC RHEUMATOLOGY;;2520-1026;Rheumatology;BMC Rheumatology;;2520-1026
BMC Women's Health;1472-6874;;;;BioMed Central;GB;C159110408;BMC Women's Health;-;1472-6874;"2729; 2743; 2700;";BMC WOMENS HEALTH;;1472-6874;Obstetrics & Gynecology;BMC Women's Health;;1472-6874
BMJ Global Health;2059-7908;;;;BMJ;GB;C159110408;BMJ Global Health;-;2059-7908;"2739; 2719;";BMJ GLOBAL HEALTH;2059-7908;2059-7908;Public, Environmental & Occupational Health;BMJ Global Health;;2059-7908
BMJ health & care informatics;2632-1009;;;;BMJ;GB;C159110408;BMJ Health and Care Informatics;-;2632-1009;"3605; 2718; 1706;";BMJ HEALTH & CARE INFORMATICS;;2632-1009;Health Care Sciences & Services | Medical Informatics;BMJ Health & Care Informatics;;2632-1009
BMJ innovations;2055-642X;2055-8074;;;BMJ;GB;C159110408;BMJ Innovations;2055-8074;2055-642X;"2700;";BMJ INNOVATIONS;2055-8074;2055-642X;Health Care Sciences & Services;;;
BMJ Leader;2398-631X;;;;BMJ;;C159110408;BMJ Leader;-;2398-631X;"1408; 2719; 2911;";BMJ LEADER;;2398-631X;Health Care Sciences & Services;;;
BMJ military health;2633-3767;2633-3775;;;BMJ;GB;C159110408;BMJ Military Health;2633-3767;2633-3775;"2700;";BMJ MILITARY HEALTH;2633-3767;2633-3775;Medicine, General & Internal;;;
BMJ nutrition, prevention & health;2516-5542;;;;BMJ;GB;C159110408;BMJ Nutrition, Prevention and Health;-;2516-5542;"2916; 2701; 3306; ";;;;;BMJ Nutrition, Prevention & Health;;2516-5542
BMJ Open;2044-6055;;;;BMJ;GB;C159110408;BMJ Open;2044-6055;-;"2700;";BMJ OPEN;2044-6055;2044-6055;Medicine, General & Internal;BMJ Open;;2044-6055
BMJ open quality;2399-6641;;;;BMJ;GB;C159110408;BMJ Open Quality;-;2399-6641;"2739; 2719; 2911;";BMJ OPEN QUALITY;;2399-6641;Health Care Sciences & Services | Medicine, General & Internal;BMJ Open Quality;;2399-6641
BMJ Open Respiratory Research;2052-4439;;;;BMJ;GB;C159110408;BMJ Open Respiratory Research;-;2052-4439;"2740;";BMJ OPEN RESPIRATORY RESEARCH;;2052-4439;Respiratory System;BMJ Open Respiratory Research;;2052-4439
BMJ open sport and exercise medicine;2055-7647;;;;BMJ;GB;C159110408;BMJ Open Sport and Exercise Medicine;2055-7647;-;"3612; 2732;";BMJ OPEN SPORT & EXERCISE MEDICINE;;2055-7647;Sport Sciences;BMJ Open Sport & Exercise Medicine;;2055-7647
BMJ Paediatrics Open;2399-9772;;;;BMJ;GB;C159110408;BMJ Paediatrics Open;-;2399-9772;"2735;";BMJ PAEDIATRICS OPEN;;2399-9772;Pediatrics;BMJ Paediatrics Open;;2399-9772
BMJ Quality & Safety;2044-5423;2044-5415;;;BMJ;GB;C159110408;BMJ Quality and Safety;2044-5415;-;"2719;";BMJ QUALITY & SAFETY;2044-5415;2044-5423;Health Care Sciences & Services;;;
BMJ Quality Improvement Reports;2050-1315;;;;BMJ;GB;C159110408;;;;;;;;;;;
BMJ sexual & reproductive health;2515-2009;2515-1991;;;BMJ;GB;C159110408;BMJ Sexual and Reproductive Health;2515-1991;2515-2009;"2729; 2743;";BMJ SEXUAL & REPRODUCTIVE HEALTH;2515-1991;2515-2009;Obstetrics & Gynecology;;;
BMJ Simulation and Technology Enhanced Learning;2056-6697;;;;BMJ;GB;C159110408;BMJ Simulation and Technology Enhanced Learning;-;2056-6697;"2718; 3304; 2611;";;;;;;;
BMJ supportive & palliative care;2045-4368;2045-435X;;;BMJ;GB;C159110408;BMJ Supportive and Palliative Care;2045-435X;2045-4368;"2914; 2917; 2700; 2701;";BMJ SUPPORTIVE & PALLIATIVE CARE;2045-435X;2045-4368;Health Care Sciences & Services;;;
Body Image;1873-6807;1740-1445;;;Elsevier BV;GB;C159110408;Body Image;1740-1445;-;"3200; 3202; 3207;";BODY IMAGE;1740-1445;1873-6807;Psychology, Clinical | Psychiatry | Psychology, Multidisciplinary;;;
Bo'geon gyoyug geon'gang jeungjin haghoeji;1229-4128;2635-5302;;;;KR;C159110408;;;;;;;;;;;
Bo'geon ui'lyo gyoyug pyeong'ga;1738-1339;;;;Korea Health Insurance Licensing Examination Institute;KR;C159110408;;;;;;;;;;;
Bogeon uiryo saneop hakoeji;2288-0666;2093-5986;;;;KR;C159110408;;;;;;;;;;;
Ból;1640-324X;;;;Index Copernicus International S.A.;PL;C159110408;;;;;;;;;;;
Bone & joint open;2633-1462;;;;British Editorial Society of Bone & Joint Surgery;GB;C159110408;Bone and Joint Open;-;2633-1462;"2746; 2732; ";BONE & JOINT OPEN;2633-1462;2633-1462;Orthopedics;Bone & Joint Open;;2633-1462
Borderline personality disorder and emotion dysregulation;2051-6673;;;;Springer Science+Business Media;GB;C159110408;Borderline Personality Disorder and Emotion Dysregulation;-;2051-6673;"2803; 2738; 3203;";BORDERLINE PERSONALITY DISORDER AND EMOTION DYSREGULATION;2051-6673;2051-6673;Psychiatry;Borderline Personality Disorder and Emotion Dysregulation;;2051-6673
BORNEO EPIDEMIOLOGY JOURNAL;2735-0266;2716-7070;;;;MY;C159110408;;;;;;;;;;;
Borneo Journal of Pharmacy;2621-4814;;;;;ID;C159110408;;;;;;;;;Borneo Journal of Pharmacy;;2621-4814
Brain Impairment;1443-9646;1839-5252;;;Cambridge University Press;GB;C159110408;Brain Impairment;1443-9646;-;"3616; 2802; 2805; 2728; 2808; 3206;";BRAIN IMPAIRMENT;1443-9646;1839-5252;Clinical Neurology | Neurosciences | Rehabilitation;;;
Breastfeeding Medicine;1556-8253;1556-8342;;;Mary Ann Liebert, Inc.;US;C159110408;Breastfeeding Medicine;1556-8253;1556-8342;"2913; 2729; 2719; 2919;";BREASTFEEDING MEDICINE;1556-8253;1556-8342;Obstetrics & Gynecology | Pediatrics;;;
Brief Treatment and Crisis Intervention;1474-3329;1474-3310;;;;US;C159110408;;;;;;;;;;;
British Journal of Cardiac Nursing;1749-6403;2052-2207;;;MA Healthcare;GB;C159110408;;;;;;;;;;;
British journal of child health;2633-5417;2633-5425;;;;GB;C159110408;;;;;;;;;;;
British Journal of Clinical Governance;1466-4100;1466-4119;;;;GB;C159110408;;;;;;;;;;;
British journal of community health nursing;1362-4407;2059-934X;;;MA Healthcare;GB;C159110408;;;;;;;;;;;
British Journal of Community Nursing;1462-4753;2052-2215;;;MA Healthcare;GB;C159110408;British Journal of Community Nursing;1462-4753;-;"2905; 2700;";;;;;;;
British Journal of Family Planning;0144-8625;;;;BMJ;GB;C159110408;;;;;;;;;;;
British Journal of General Practice;0960-1643;1478-5242;;;Royal College of General Practitioners;GB;C159110408;British Journal of General Practice;0960-1643;-;"2714;";BRITISH JOURNAL OF GENERAL PRACTICE;0960-1643;1478-5242;Primary Health Care | Medicine, General & Internal;;;
British Journal of Health Psychology;1359-107X;2044-8287;;;British Psychological Society;GB;C159110408;British Journal of Health Psychology;1359-107X;-;"3202; 2700;";BRITISH JOURNAL OF HEALTH PSYCHOLOGY;1359-107X;2044-8287;Psychology, Clinical;;;
British Journal of Healthcare Assistants;1753-1586;2052-4420;;;Mark Allen Group;GB;C159110408;;;;;;;;;;;
British Journal of Healthcare Management;1759-7382;1358-0574;;;Mark Allen Group;GB;C159110408;British Journal of Health Care Management;1358-0574;-;"2719; 2911;";;;;;;;
British Journal of Infection Control;1469-0446;1754-7156;;;SAGE Publishing;GB;C159110408;;;;;;;;;;;
British Journal of Learning Disabilities;1354-4187;1468-3156;;;Wiley-Blackwell;GB;C159110408;British Journal of Learning Disabilities;1354-4187;1468-3156;"2919; 2921;";BRITISH JOURNAL OF LEARNING DISABILITIES;1354-4187;1468-3156;Education, Special;;;
British Journal of Medical Psychology;1476-0835;2044-8341;;;Wiley-Blackwell;GB;C159110408;Psychology and Psychotherapy: Theory, Research and Practice;1476-0835;2044-8341;"2738; 1201; 3203; 3204;";PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE;1476-0835;2044-8341;Psychiatry | Psychology;;;
British Journal of Mental Health Nursing;2049-5919;2052-496X;;;;GB;C159110408;;;;;;;;;;;
British journal of midwifery;0969-4900;2052-4307;;;;GB;C159110408;British Journal of Midwifery;0969-4900;-;"2913;";;;;;;;
British Journal of Neuroscience Nursing;1747-0307;2052-2800;;;Mark Allen Group;GB;C159110408;;;;;;;;;;;
British journal of nursing;2052-2819;0966-0461;;;Mark Allen Group;GB;C159110408;British Journal of Nursing;0966-0461;-;"2900;";;;;;;;
British journal of nursing studies;2755-080X;;;;;GB;C159110408;;;;;;;;;;;
British Journal of Nutrition;0007-1145;0007-1145;1475-2662;;Cambridge University Press;GB;;British Journal of Nutrition;0007-1145;1475-2662;"2916; 2701;";BRITISH JOURNAL OF NUTRITION;0007-1145;1475-2662;Nutrition & Dietetics;;;
British journal of pain;2049-4637;2049-4645;;;SAGE Publishing;GB;C159110408;British Journal of Pain;2049-4637;2049-4645;"2703;";BRITISH JOURNAL OF PAIN;2049-4637;2049-4645;Clinical Neurology;;;
British journal of perioperative nursing : the journal of the National Association of Theatre Nurses;1467-1026;;;;SAGE Publishing;GB;C159110408;;;;;;;;;;;
British journal of pharmaceutical research;2231-2919;;;;Sciencedomain International;IN;C159110408;;;;;;;;;;;
British Journal of Psychiatry Open;2056-4724;;;;Cambridge University Press;GB;C159110408;BJPsych Open;-;2056-4724;"2738;";BJPSYCH OPEN;2056-4724;2056-4724;Psychiatry;BJPsych Open;;2056-4724
British journal of school nursing;1752-2803;2052-2827;;;Mark Allen Group;GB;C159110408;;;;;;;;;;;
British journal of theatre nursing;1353-0224;;;;SAGE Publishing;GB;C159110408;;;;;;;;;;;
British Journal of Therapy and Rehabilitation;2059-9331;1354-8581;;;;GB;C159110408;;;;;;;;;;;
British paramedic journal;1478-4726;;;;;GB;C159110408;;;;;;;;;;;
Building healthy academic communities journal;2573-7643;;;;Ohio State University Libraries;US;C159110408;;;;;;;;;Building Healthy Academic Communities Journal;;2573-7643
Buletin Ekonomi Moneter dan Perbankan;1410-8046;;;;Bank Indonesia;ID;C159110408;Buletin Ekonomi Moneter dan Perbankan;1410-8046;2460-9196;"2003;";;;;;Bulletin Ekonomi Moneter dan Perbankan;1410-8046;2460-9196
Buletin penelitian sistem kesehatan;2354-8738;1410-2935;;;Airlangga University Press;ID;C159110408;;;;;BULETIN PENELITIAN SISTEM KESEHATAN;1410-2935;2354-8738;Public, Environmental & Occupational Health;;;
Bulletin - American Protestant Hospital Association;0003-0635;;;;;US;C159110408;;;;;;;;;;;
Bulletin of the American College of Nurse-Midwifery;0091-2182;1879-1565;;;Elsevier BV;US;C159110408;;;;;;;;;;;
Bulletin of the American College of Nurse-Midwifery;2376-8452;0098-3721;;;Wiley;US;C159110408;;;;;;;;;;;
Bulletin of the American College of Nurse-Midwives;2376-8460;0002-8002;;;Wiley;US;C159110408;;;;;;;;;;;
Bulletin of the History of Medicine;0007-5140;1086-3176;0007-5140;;Johns Hopkins University Press;US;;Bulletin of the History of Medicine;0007-5140;1086-3176;"1202; 2700; 2701; 2900;";BULLETIN OF THE HISTORY OF MEDICINE;0007-5140;1086-3176;History & Philosophy Of Science | Health Care Sciences & Services;;;
Bulletin of The Medical Library Association;0025-7338;;;;Medical Library Association;US;C159110408;;;;;;;;;;;
Bulletin of The Menninger Clinic;0025-9284;1943-2828;0025-9284;;Guilford Press;US;;Bulletin of the Menninger Clinic;0025-9284;-;"2738; 3203; 2921;";BULLETIN OF THE MENNINGER CLINIC;0025-9284;1943-2828;Psychiatry | Psychology, Psychoanalysis;;;
Bulletin of The World Health Organization;0042-9686;1564-0604;;;World Health Organization;;C159110408;Bulletin of the World Health Organization;0042-9686;1564-0604;"2739;";BULLETIN OF THE WORLD HEALTH ORGANIZATION;0042-9686;1564-0604;Public, Environmental & Occupational Health;;;
C.H.A.C. review;0226-5923;;;;;;C159110408;;;;;;;;;;;
Cadernos do Cuidado;2595-0886;;;;;BR;C159110408;;;;;;;;;;;
Cahiers de nutrition et de diététique;0007-9960;0007-9960;2352-4960;;Elsevier BV;FR;;Cahiers de Nutrition et de Dietetique;0007-9960;-;"2916; 2701;";CAHIERS DE NUTRITION ET DE DIETETIQUE;0007-9960;0007-9960;Nutrition & Dietetics;;;
California nurse;0008-1310;;;;;US;C159110408;;;;;;;;;;;
Californian journal of health promotion;1545-8717;1545-8725;;;Californian Journal of Health Promotion;US;C159110408;;;;;;;;;Californian Journal of Health Promotion;;1545-8725
Cambridge Quarterly of Healthcare Ethics;0963-1801;1469-2147;0963-1801;;Cambridge University Press;GB;;Cambridge Quarterly of Healthcare Ethics;0963-1801;1469-2147;"2719; 2910; 3306;";CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS;0963-1801;1469-2147;Health Care Sciences & Services;;;
Campbell Systematic Reviews;1891-1803;;;;The Campbell Collaboration;US;C159110408;Campbell Systematic Reviews;1891-1803;-;"3300;";CAMPBELL SYSTEMATIC REVIEWS;;1891-1803;Social Sciences, Interdisciplinary;Campbell Systematic Reviews;;1891-1803
Canada communicable disease report;1188-4169;1481-8531;;;Health Canada;CA;C159110408;;;;;;;;;Canada Communicable Disease Report;1719-3109;1481-8531
Canadian Family Physician;1715-5266;0008-350X;1715-5258;;College of Family Physicians Canada;CA;C159110408;Canadian Family Physician;0008-350X;1715-5258;"2714; 2700;";CANADIAN FAMILY PHYSICIAN;0008-350X;1715-5258;Primary Health Care | Medicine, General & Internal;;;
Canadian Geriatrics Journal;1925-8348;;;;;CA;C159110408;Canadian Geriatrics Journal;-;1925-8348;"2717; 2909;";CANADIAN GERIATRICS JOURNAL;;1925-8348;Geriatrics & Gerontology;;;
Canadian health policy;2562-9492;;;;;CA;C159110408;;;;;;;;;;;
Canadian hospital;0008-3798;;;;Canadian Hospital Association;CA;C159110408;;;;;;;;;;;
